text,user_location,tweet_date,time,city
"Coração, cérebro, rim, pulmão: você sabia que a covid-19 atinge vários órgãos? #coronavirus #covid19 #pandemia #sarscov2 #cienciabrasileira #divulgaçãocientífica #redecovid19faperj #faperj #covid19faperj #pesquisa","Rio de Janeiro, Brasil",2021-04-01,04:20:49,Rio de Janeiro
o Tio Barnabé (João Acaiabe) acabou de falecer vítima do Covid-19 😭,"Bahia, Brasil",2021-04-01,04:21:52,Bahia
crlh Chico morreu,"Goiânia, Brasil",2021-04-01,04:23:37,Goiânia
"eu tô mal kkjk,acabou c minha noite nu","Belo Horizonte, Brasil",2021-04-01,04:32:33,Belo Horizonte
"Tio Barbabé, do sítio do pica pau amarelo, faleceu em decorrência do COVID-19 F 🥺","Alagoas, Brasil",2021-04-01,04:29:35,Alagoas
"Ator do Sítio do Pica-Pau Amarelo e Chiquititas, João Acaiabe morre devido complicações da covid-19 | via","Rio de Janeiro, Brasil",2021-04-01,04:33:15,Rio de Janeiro
"As infecções parecem estar se estabilizando em um nível alto devido ao aumento das intervenções dos estados q estão impondo suas próprias medidas, diz , da ""... As próximas duas a 3 semanas serão críticas"" #COVID19","São Paulo, Brasil",2021-04-01,04:30:09,São Paulo
Tenente-coronel da PM morre em decorrência da Covid-19 no Into,"Acre, Brasil",2021-04-01,04:27:47,Acre
"Ai não gente, o Tio Barnabé do Sítio do Picapau Amarelo faleceu de covid-19 João Acaiabe foi um grande artista. Descanse em paz lenda, junto com a nossa Dona Benta 🖤","Bahia, Brasil",2021-04-01,04:31:48,Bahia
E ainda fez o sítio do Pica Pau Amarelo,"São Paulo, Brasil",2021-04-01,04:28:53,São Paulo
"Mano,não to podendo!😥 O Chico,véi mdssss","Lages, Brasil",2021-04-01,04:30:40,Lages
Vacinação contra Covid-19 nos quilombolas de Conceição do Imbé nesta quinta -,"Campos dos Goytacazes, Brasil",2021-04-01,04:40:07,Campos dos Goytacazes
Doença desgraçada,"Rio de Janeiro, Brasil",2021-04-01,04:41:45,Rio de Janeiro
Certamente com 💵💵 público...,"Rio de Janeiro, Brasil",2021-04-01,04:45:07,Rio de Janeiro
vai vendo aí... são muitos casos...,"S.Caetano do Sul, SP, Brazil",2021-04-01,04:40:46,S.Caetano do Sul
Maro fecha como ms com mais casos de COVID-19 em BH – Gerais,"Curitiba, Brasil",2021-04-01,04:36:41,Curitiba
"bando de filha da puta lá da china, eu odeio vcs seus escroto","Valparaíso de Goiás, Brasil",2021-04-01,04:36:04,Valparaíso de Goiás
"😢 eterno tio barnabé, só quem é relíquia sabe","São Paulo, Brasil",2021-04-01,04:39:38,São Paulo
"MEU DEUS, O CHICO","São João de Meriti, Brasil",2021-04-01,04:41:43,São João de Meriti
Brasil registra 3.869 novas mortes por Covid-19 nas últimas 24 horas,"Maranhão, Brasil",2021-04-01,04:36:24,Maranhão
"Não criei roteiro nenhum, cara.","Rio Grande, Brasil",2021-04-01,04:44:07,Rio Grande
"Brasil registra quase 4 mil mortes por Covid no dia e fecha pior mês da pandemia com 66,8 mil óbitos | Coronavírus | G1","São Paulo, Brasil",2021-04-01,04:42:46,São Paulo
Que tristeza meu Deus,"Pernambuco, Brasil",2021-04-01,04:39:34,Pernambuco
"O vírus da covid-19 e muito grave a nova variante pior, e anda tem gente que prefere usar ""vendas do que máscara"" lamentável!","Petrópolis, Brasil",2021-04-01,04:35:11,Petrópolis
"Número de vacinados contra a covid-19 chega a 17,6 milhões, 8,32% da população","Sorocaba, Brasil",2021-04-01,04:34:29,Sorocaba
não tô bem não,"Florianópolis, Brasil",2021-04-01,04:43:06,Florianópolis
NÃO NÃO NÃO NÃO EU TÔ MT TRISTE,"Acre, Brasil",2021-04-01,04:35:14,Acre
ah não mano 😔😔😔,"Rio de Janeiro, Brasil",2021-04-01,04:49:10,Rio de Janeiro
"sinto uma angústia tão grande quando penso nele, nessa situação, a cada vez que oro. meu Deus, tem misericórdia dessa família, dessa mãe. 😭💔","Recife, Brasil",2021-04-01,04:54:19,Recife
Acho que a Covid-19 pegou o ganhador da mega.,"Fortaleza, Brasil",2021-04-01,04:53:26,Fortaleza
Tô triste agora,"Carandaí, Brasil",2021-04-01,04:54:27,Carandaí
Ainda esse papo? Sério mesmo? Vamos chegar em 2050 repetindo isso?,"Salvador, Brasil",2021-04-01,04:50:48,Salvador
"Brasil registra quase 4 mil mortes por Covid no dia e fecha pior mês da pandemia com 66,8 mil óbitos | Coronavírus | G1","Rio de Janeiro, Brasil",2021-04-01,04:49:37,Rio de Janeiro
Gente o Chico de Chiquititas acabou de morrer de covid-19 #JoaoAcaiabe,"Porto Alegre, Brasil",2021-04-01,04:46:00,Porto Alegre
